rank,year,duration,age_limit,rating,numberof_ratings,Metascore,description,name
87,1940,2h 5m,PG,8.4,(238K),,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime., The Great Dictator
88,1963,2h 23m,12,8.4,(54K),90,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom., High and Low
89,2021,2h 44m,TV-MA,8.4,(48K),,"A biopic detailing the 2 decades that Punjabi Sikh revolutionary, Udham Singh, spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.", Sardar Udham
90,2019,2h 25m,12A,8.4,(43K),,"Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy.", Kaithi
91,2019,2h 21m,12A,8.4,(34K),,"The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. How the pacifist farmer saves his hot-blooded son is the rest of the story.", Asuran
92,2021,2h 32m,12,8.4,(41K),,A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?, Drishyam 2
93,2023,3h,15,8.3,(755K),90,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb., Oppenheimer
94,1999,2h 2m,18,8.3,(1.2M),84,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend., American Beauty
95,2010,2h 11m,15,8.3,(204K),80,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes., Incendies
96,1997,2h 6m,15,8.3,(1.1M),71,"Will Hunting, a janitor at MIT, has a gift for mathematics, but needs help from a psychologist to find direction in his life.", Good Will Hunting
97,2000,1h 42m,18,8.3,(903K),71,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.., Requiem for a Dream
98,1995,2h 50m,15,8.3,(724K),76,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist., Heat
99,2003,2h,18,8.3,(640K),78,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days.", Oldboy
100,2004,1h 48m,15,8.3,(1.1M),89,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever.", Eternal Sunshine of the Spotless Mind
101,1983,2h 50m,18,8.3,(922K),65,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.", Scarface
102,1984,3h 49m,18,8.3,(380K),75,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.", Once Upon a Time in America
103,1995,2h 58m,15,8.3,(1.1M),68,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England., Braveheart
104,1971,2h 16m,X,8.3,(885K),77,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.", A Clockwork Orange
105,1968,2h 29m,U,8.3,(723K),84,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins: a spacecraft manned by two men and the supercomputer HAL 9000.", 2001: A Space Odyssey
106,1987,1h 56m,18,8.3,(794K),78,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue., Full Metal Jacket
107,1995,1h 21m,PG,8.3,(1.1M),96,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom., Toy Story
108,1992,1h 39m,18,8.3,(1.1M),81,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.", Reservoir Dogs
109,2012,1h 55m,15,8.3,(367K),77,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.", The Hunt
110,2009,1h 36m,U,8.3,(1.1M),88,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.", Up
111,2020,2h 40m,12,8.3,(115K),88,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.", Hamilton
112,1983,2h 11m,PG,8.3,(1.1M),58,"After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side.", Star Wars: Episode VI - Return of the Jedi
